@BBCTalkback nhs nurse hurts shoulder in work and has to go private to get it fixed to avoid years out of work #irony,irony
"@jeffmeintzer @FoxNews @fxnscitech well wouldn't say it's ""hilarious"" only ironic that people who violate trust had same done to them #irony",irony
#IRONY Funny How more media reporters cover the Confederate Battle Flag than cover the #PlannedParenthood #PlannedButcherhood story,irony
"BigLaw firm asks for help improving efficiency. We send 200-word agreement. They reply w/ 7,100 word contract. Um, the defense rests? #irony",irony
@klbraggg I was just making myself sad by watching videos of the boys I'll never meet. #irony #depression,irony
Rodney on the mound #Irony definition,irony
Head lines http://t.co/LojBuHKoM4 #autocorrect #copywriting #irony #proofreading #SaudiArabia #subediting #typo #UN http://t.co/8aJRLivzWP,irony
k RT @KimKardashian  not trying 2 shade any1! That's not my style! just thought that caption was perfect for that pic! Changing now! #ironic,irony
#ParineetiChopra  #betibachaobetipadao #Social #brand #ambassador #Gurgaon #Panel sex ratio #irony 11 men vs 2 women? http://t.co/qxK9GiE5I4,irony
And Poland attacked as well Germany in 1939. Those guys always bash on the Polish first. #irony https://t.co/MQ0pLmmqLG,irony
Back to basics. How #digital #eBooks are conceived. #irony https://t.co/CvDj6JqOLO,irony
country's pride is limited to cricket matches. #irony,irony
My dad the #trucker will only call these hats summer hats. #irony http://t.co/NihaHqQOLO,irony
ECG dey mek i tink about remaining abroad n missing #chalewote2015 ... How can 1 company have so much power? #irony  https://t.co/BXwBApvCY2,irony
"#Irony @TheDemocrats on #Bullying: @vj44: Logan spoke out against bullying. Today, he visited the @WhiteHouse. http://t.co/anwiFt7GBt",irony
#Irony at it's best. http://t.co/e0x4PAxTMN,irony
Lol looks like PTI opened up a laundry service... RAW daagh Bhi nikal jatay hain Kia? :p #LeaveMQMJoinPTI #irony,irony
@YumBADAR true . . . #Irony,irony
@JamieChurch2 yeah.im dying to see suicide squad #irony,irony
Meek mill throwing a shade jus cos Drake didnt tweet about your album. A mixtape ago you were rappin' about being self made. #Irony,irony
Isn't it ironic that the poor &amp; the middle class think saving is for the rich haha #Irony #Invest #Save,irony
"it's funny how I grew up hating school and now that I go to X, I'm happiest when I'm there #irony #takemeback",irony
@royalsreview Yankees fans are complaining that this is unfair.  #irony,irony
My #Twitter feed has decided that situational #irony is the term to know for today. http://t.co/SW1lHfRdjf,irony
@CharterCom  is so reliable that I would recommend it to anyone. #irony #fibernet,irony
"People teased the alternative kids, now everyone has tatts and piercings #irony",irony
NBC News story about hackers and one of them is wearing a St. Louis Cardinals shirt. #Irony http://t.co/Qm8LSVLhw1,irony
@TeachLuchaTeach Undertaker mocking the shocked fan's face from last year. #irony #RAWKansasCity,irony
Says the man who hasn't been in leadership for almost quarter of a century #ironic #blair2015  https://t.co/ZaTGzIhT1k,irony
"@MatdanRees @neiljmcevoy @ElinTudurPlaid ""Your Local Labour Team - listening to you"" Really? #WheeliebinGate #Irony http://t.co/CNaPqzOLiF",irony
"@MetroUK Lol, clicked on this and it's surrounded by @McDonalds ads #Ironic",irony
it's my three years at outback.... and I'm not there for once #irony,irony
@yourboyeddie #Ironic BET Awards = Peaceful / VMAs = All hell breaks loose.,irony
Pencils for Pencils! http://t.co/ACl3MsrTxi via @Etsy #pencils #cottonandsteel #irony #handmadelove #etsy #backtoschool,irony
@Stromae Carmen is an awesome song/video. The irony is not lost on me that I am using Twitter to tell you! #irony #brilliant,irony
"Lifelock failed to protect customer data, FTC charges #irony http://t.co/J4VaqUQoiT",irony
"@RepublicanSwine The same #OKGOP that lives in ""Tornado Alley""...and constantly asks for our help. Thus ends my lesson in #irony @mch7576",irony
"Losing my fantasy matchup badly (so far), and defining #irony is anti-closer me winning only saves for the week. http://t.co/slRRIDNxxP",irony
@scottieparker sun is shining over Edinburgh #ironic,irony
