Be aware  dirty step to get money  #staylight #staywhite  #sarcastic #moralneeded @… https://t.co/Oj6BdyX3WG,figurative
#sarcasm for #people who don't understand #diy #artattack http://t.co/rtyYmuDVUS,figurative
@IminworkJeremy @medsingle #DailyMail readers being sensible as always #shocker #sarcastic #dailyfail #inHuntspocket #theyhatethenhs,figurative
@wilw Why do I get the feeling you like games? #sarcasm,figurative
-@TeacherArthurG @rweingarten You probably just missed the text. #sarcastic,figurative
"Tune in to Nigezie and be treated to Rachel Platten's Fight Song, move to MTV and get Reminisce &amp; Olamide's Local Rapper #Irony #TimesChange",figurative
What iz thiz?!?!? A friggin DC love fest??!?!? @andysignore @MurrellDan #Sarcasm #MovieFights,figurative
"man, i wish i could sexually harass an intoxicated minor and NOT go to jail #sarcasm",figurative
@raaachf for the car ride when I get to listen to you and jess the whole time? Yeah woo can't wait either. #sarcasm,figurative
Aamir calls #BajrangiBhaijaan as Salman's best movie yet! You decide whether it's #sarcasm or a compliment!,figurative
@megturney Sorry you can't understand my #dark sense of humor... #sarcasm,figurative
#work #yay #sarcasm #fuck #goodnight 😔 @ G Town https://t.co/wA4p63LImD,figurative
@KingDonutI Come on..it's against the Mets....that's like a loss to a double A team at the best #Sarcasm,figurative
@stl7thward @LauraKHettiger I thought hot spot policing was a plan?? (Which btw is really working out) #sarcasm,figurative
"@ciarakellydoc @LunchtimeNT dont be daft Dr Ciara. Measles doesnt kill, its an old fashioned disease. Like scurvy! And trench foot! #sarcasm",figurative
I dont think any TV show could be more #Epic than #MasterShowman! This show is the bees knees!! #sarcastic,figurative
Here we go another day in paradise #sarcasm,figurative
@benshapiro @CBSNews sure does... #Sarcasm,figurative
"My jobs great because I love what I do (operate rides for kids) and sometimes if the weather's right, I get a shower too!! #rain #sarcasm",figurative
quotestags_app #funnyquotes #insult #sarcasticquotes #sarcasm  #quote #quotestags https://t.co/bTB5knXbIY,figurative
Loving the @BBCSport coverage of #TheOpen  #Sarcasm,figurative
Did Strop just pitch around a double with the game on the line? I couldn't tell because I was paying attention to his hat. #sarcasm #Cubs,figurative
You keep them close to see what they're up to...😬🙊 #sarcastic #sassy https://t.co/PldTawvAIS,figurative
Thanks again. #sarcasm",figurative
@Cdnmooselips33 @blawrie13 sure but we got to watch a random soccer match instead! #cbc #sarcasm,figurative
It's only been out for 2 years though I'm sure they'll fix it. #sarcasm,figurative
"This is great, I get to see people live tweet wresting. Awesome. #sarcasm",figurative
"""Next on CNN; we attempt to interview the shark that attacked Mick Fanning on whether he knows anything about MH30."" - Wolf Blitzer #sarcasm",figurative
"I'm so glad I pay £33.90 a week to use @ScotRail what with the windows letting in rain, well worth it #sarcasm 😐🌂☔️ http://t.co/IkFDYvdFmd",figurative
Off to spend 36 hours in my most favourite city in all of Canada...  #Toronto #sarcasm,figurative
"@JebBush http://t.co/aYXx7mWdj3 your illegal voter purge, and constant #votersuppression tactics, thanks for that #sarcasm",figurative
"I just looked up some ex girlfriends on Facebook to say to a friend, ""Imagine if I married her"" and they've unfriended me. Rude! #irony",figurative
Let's all talk about our crushing loneliness!  Because it's a super fun experience. #sarcasm,figurative
